"ID";"Nimi";"Kokoelma";"Yleislaji";"Tyyppi";"Muistiinpanija";"Vuosi";"Sivu";"Tahtilaji";"Sävellaji";"Pitäjä";"Kylä";"Maakunta";"Lääni";"Sanat";"Kirjahuomiot";"Kommentit";"Samanlaisuus";"Intervalli";"Melodian suunta"
"kjs_0001";"Virityksen koetus";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Viritys- ja johdakesävelmiä";"Antti Rantonen/A. O. Väisänen";"1925";"1";"6/8";"G";"Haapavesi";"Ainali";"Pohjois-Pohjanmaa";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella, tempo: 76";"tahtilaji merkitty kirjassa virheellisesti 2 4";"";"+0-2+0-1+3-2+2-3+3";"rdrdududu"
"kjs_0002";"Kanteleen viritys";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Viritys- ja johdakesävelmiä";"Heikki Halonen/A. O. Väisänen";"1917";"1";"3/4";"g";"Lapinlahti";"Akkala";"Pohjois-Savo";"Itä-Suomen lääni";"Onko niin, onko niin, kono niin, kono niin, niin, niin? onko niin, onko niin, onko niin? Niin on.";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella, tempo: 116";"";"";"-7+2-2+2+1-1+1+2-2+2+2+0+0-5+1+2-2+2+2-7+5-2+4+0";"duduuduuduurrduuduududur"
"kjs_0003";"";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Viritys- ja johdakesävelmiä";"Iivana Shirgo/A. O. Väisänen";"1916";"1";"2/4";"g";"Impilahti";"Koivuselkä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"+0+0+0+0+0+0+0+1-1+1-1+5-10-2+0+2-2+0+2-2+2+1-1+1+2+2-2+2+1-1+1+2-2+2+2-2-2-1-2-2-1-2-2-2-1+1+2+2";"rrrrrrrudududdrudruduuduuuduuduuduudddddddddduuu"
"kjs_0004";"Laulun alkusoitto";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Viritys- ja johdakesävelmiä";"Vanja Trofimov/A. O. Väisänen";"1917";"2";"2/4";"G";"Suojärvi";"Kuikkaniemi";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 76";"";"";"-12+21-2-2-1-2-12+22-2-1-2-2-1+1";"dudddddudddddu"
"kjs_0005";"Kellonsoitto";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Ontreini Jyrki/A. Lähteenkorva";"14";"2";"2/4";"G";"Vienan Karjala(Vuonninen)";"Vuonninen";"Vienan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella";"";"";"+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0";"rrrrrrrrrrrrrrrr"
"kjs_0006";"Kirkonkellot";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Everik Rähkönen/A. Launis";"1905";"2";"2/4";"g";"Ilomantsi";"";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 96";"";"";"-2+2-5+3-3+5+0-2+0+2+0-4-1+3-3+5+0-4+2+0+2+0-5+3-3+5+0-2+0+2+0-4-1+3-3+5+0-4+2+0+2+0-5+3-3+5-9+4+5-5+0+0+5-7+7-9+9-9+4+5-5+0+0+5-7+7-7+9+0+1+2-5-2+2+2+1+2-5-2";"dududurdrurddudurdururdudurdrurddudurdururdududuudrrudududuudrrududuruudduuuudd"
"kjs_0007";"Kellonsoitto";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Juhana Kiiskinen/A. Lähteenkorva";"16";"3";"2/4";"G";"Pielisjärvi";"Kylänlahti";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"-2+5+0-1-4+4-2-2+5-1-4+4-2-2+5+0-1-4+4-2-2+5-1-4+4-2+2-4+4-2+2-4+4-2+2-4+4-2+2-4+4-2-2+4-2+2-4+4-2+2-4+4-2+2-4+7-12+12-12+12-12+12-12+12-12+12-3+1+2-3+1+2-3+1+2-3+1+2-3+1+2-2-1+1+2-2-1+1+2-2-1+1+2-2-1+1+2-2-1+1-3-7+7-7+7-7+9-2-2+4-2-2+4-2-2+4-2-2+2-2";"durdduddudduddurddudduddudududududududududdududududududududududududuuduuduuduuduudduudduudduudduudduddudududduddudduddud"
"kjs_0008";"Kirkonkellot";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Taavi Kiiskinen/A. O. Väisänen";"1917";"3";"2/4";"G";"Pielisjärvi";"";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 108, äänitteet: prl. 12, 0-9";"";"";"+5+0-1-4+4-2-2+5-1-4+4-2-2+5+0-1-4+4-2-2+5-1-4+4-2+2-4+4-2+2-4+4-2-2+0+4-2+2-4+4-2-2+4+1+2-12+12-12+12-12+12-12+12-2-1+1+2-2-1+1+2-2-1+1-3+0+0+0+2-2-2+4-2-2+2-2+4+1+2-12+12-12+12-12+12-12+12-2-1+1+2-2-1+1+2-2-1+1-3+0+0+0+2-2-2+4-2-2+0";"urdduddudduddurddudduddudududududdrudududduuudududududduudduuddudrrruddudduduuudududududduudduuddudrrrudduddr"
"kjs_0009";"Kirkonkellot";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Fedja Karhapää/A. O. Väisänen";"1922";"4";"2/4";"G";"Ilomantsi";"Sonkaja";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 104";"";"";"-5-7+7+5-5-7+5+4-4-5+5+4-4-5+4+3-3-4+4+3-5-7+12-3-4+7-5-3+8-5-3+3+5-5-7+12-3-4+7-5-3+8-5-3+3+5-5-7+12-3-4-5+5+7-7-5+5+7-7-5+5+7-5-3+3+5-5-3+3+5-3-4+4+3-3-4+4+5-4-5+5+4-4-5+4+3-3-4+4+3-3-4+4+5-4-5+5+4-4-5+4+3-3-4+4+3-3-4+5+4-4-5+5+4-4-5+5+7-7-5+5+4-4-5+5+4-4-5+5+4-4-5+5+7-7-5+5+4-4-5+5+4-4-5+5+4-4-5+4+3-3-4+4+3-5-7+12-3-4";"dduudduudduudduudduuddudduddudduuddudduddudduudduddduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduudduuddudd"
"kjs_0010";"Valamon kirkonkellot";"Kantele- ja jouhikkosävelmät";"Improvisaatioita";"Kirkonkellojen sävelmiä";"Teppana Jänis/A. O. Väisänen";"1916";"4";"2/4";"a";"Suistamo";"Maisu";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 112, äänitteet: prl. 61, 18-23";"";"";"+0+0+0+0+4-4-3+3+4-4-3+3+4-4-1+3-2+4-5+3-5+7-4-1+3-2+4-5+3-5+5-3+3-2-1+3-5+5-3+3-2-1+3-5+5-3+3-2+4-4+4-7+3+4-4-3+7-4-3+3+4-5+3-2+4-4-3+3+4-4-3+7-4-1+3-2+4-4-3+3+4-4-3+7-4-1+3-2+4-4-1+3-2+4-4-1+3-2+4-5+3-5+5-3+3-2-1+3-5+5-3+3-2-1+3-5+5-3+3-2+4-4+4-7+7-4-3+3+4-4-3+3+4-4-3+3+4-4-3+3+4-4-1+3-5+7-4-3+3+4-4-3+3+4-4-1+3-5+7-4-3+3+4-4-3+3+4-4-1+3-5+7-5+3-2+4-4-1+3-5+7-5+3-5+5-3+3-2-1+3-5+5-3+3-2-1+3-5+5-3+3-2+4-4+4-4+4-4-3+3+4-4-3+3+4-4-3+3+4-5+3-5+7-4-3+3+4-4-3+3+4-4-1+3-5+7-5+3-5+5-3+3-2+4-5-2+2+3-2-1+3-5+2";"rrrrudduudduuddududududdudududududdudududdudududududuuddudduudududduudduddududduudduddududdududdudududududdudududdududududududduudduudduudduuddududduudduuddududduudduuddududududdudududududdudududdududududududduudduudduudududduudduuddududududududduuddudu"
